PID	Street Address	MBLU	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Ass. Imp	Prev. Ass. Land	Prev. Ass. Tot	Prev. App. Imp	Prev. App. Land	Prev. App. Tot	
1207	5 FLINT HILL RD	414/  1/  /  / 	  4358/0113	$16,100	$16,100	1.1	1320	RES ACLNUD	RD	1	2021	$0	$16,100	$16,100	$0	05/04/2018	$50,000	01/16/1997	$0	$12,600	$12,600	$0	$12,600	$12,600	20:18:44	840
1338	61 POUT POND LN	415/  14/  /  / 	  4629/ 850	$724,800	$750,900	5.28	1010	SINGLE FAM MDL01	RD	1	2021	$546,500	$204,400	$750,900	$0	05/06/2021	$675,000	07/03/2012	$518,300	$155,300	$673,600	$518,300	$174,200	$692,500	20:18:45	841
1342	69 POUT POND LN	415/  17/  /  / 	  4652/  53	$686,800	$686,800	5.28	1010	SINGLE FAM MDL01	RD	1	2021	$456,000	$230,800	$686,800	$775,000	07/20/2021	$675,000	12/17/2019	$405,700	$196,500	$602,200	$405,700	$196,500	$602,200	20:18:46	842
1343	73 POUT POND LN	415/  18/  /  / 	  1972/0070	$299,200	$299,200	5.47	1010	SINGLE FAM MDL01	RD	1	2021	$100,700	$198,500	$299,200	$0	06/13/1991	$70,000	01/09/1988	$111,900	$160,500	$272,400	$111,900	$160,500	$272,400	20:18:47	843
1352	82 POUT POND LN	415/  20/  1000/  / 	  2179/ 517	$515,700	$737,500	67.57	1010	SINGLE FAM MDL01	MFD	1	2021	$280,600	$456,900	$737,500	$115,000	01/29/1996	$300,000	03/26/1986	$248,600	$244,300	$492,900	$248,600	$450,500	$699,100	20:18:48	844
1353	79 POUT POND LN	415/  20/  2000/  / 	  2011/0416	$972,100	$1,053,100	11.08	1010	SINGLE FAM MDL01	RD	1	2021	$716,800	$336,300	$1,053,100	$115,048	02/03/1993	$300,000	03/26/1986	$674,200	$246,700	$920,900	$674,200	$295,200	$969,400	20:18:49	845
1354	84 POUT POND LN	415/  20/  3000/  / 	  4999/ 808	$673,200	$751,900	9.13	1090	MULTI HSES	RD	2	2021	$328,100	$423,800	$751,900	$0	02/10/2020	$225,048	05/20/1993	$390,500	$244,400	$634,900	$390,500	$315,700	$706,200	20:18:50	846
1355	101 SMITH MOUNTAIN RD	415/  21/  /  / 	  3867/0316	$7,500	$251,200	139	6103	WPM-3	MFD	1	2021	$0	$251,200	$251,200	$141,333	03/22/2012			$0	$7,500	$7,500	$0	$227,300	$227,300	20:18:51	847
1356	141 SMITH MOUNTAIN RD	415/  22/  /  / 	  2380/0428	$59,500	$2,464,300	1871.8	6214	HWMR-4	MFD	1	2021	$0	$2,464,300	$2,464,300	$1,125,000	03/19/1999	$4,000	06/02/1997	$0	$59,500	$59,500	$0	$2,254,200	$2,254,200	20:18:52	848
1358	121 TROUT POND LN	415/  24/  /  / 	  3081/0934	$1,800	$30,700	31	6234	HWUNR-4	MFD	1	2021	$0	$30,700	$30,700	$9,800	11/30/2004	$1,000	01/04/1957	$0	$1,800	$1,800	$0	$27,900	$27,900	20:18:52	849
1360	200 SMITH MOUNTAIN RD	415/  26/  /  / 	  3792/0264	$12,400	$228,600	117.4	6133	WPUNR-3	MFD	1	2021	$0	$228,600	$228,600	$117,000	05/10/2011	$5,000	04/10/1987	$0	$12,400	$12,400	$0	$206,800	$206,800	20:18:53	850
1361	174 SMITH MOUNTAIN RD	415/  27/  /  / 	   939/ 581	$3,000	$142,400	63.7	6232	HWUNR-2	MFD	1	2021	$0	$142,400	$142,400	$0	12/02/1960			$0	$3,000	$3,000	$0	$128,500	$128,500	20:18:54	851
1362	164 SMITH MOUNTAIN RD	415/  28/  /  / 	  4159/ 807	$14,700	$96,100	130	1320	RES ACLNUD	MFD	1	2021	$0	$96,100	$96,100	$0	09/18/2015			$0	$13,300	$13,300	$0	$86,900	$86,900	20:18:55	852
1364	66 ORFORDVILLE RD	416/  1/  /  / 	  4182/  49	$1,500	$221,800	18	6225	HWUN-5	RD	1	2021	$0	$221,800	$221,800	$440,000	12/23/2015	$200,000	10/02/1997	$0	$1,500	$1,500	$0	$168,500	$168,500	20:18:56	853
1365	58 ORFORDVILLE RD	416/  2/  /  / 	  4030/0969	$200	$29,900	2.9	6235	HWUNR-5	RD	1	2021	$0	$29,900	$29,900	$0	12/13/2013	$30,000	05/11/2010	$0	$200	$200	$0	$22,400	$22,400	20:18:57	854
1366	40 ORFORDVILLE RD	416/  3/  /  / 	  3477/0857	$1,600	$208,500	41	6215	HWMR-5	RD	1	2021	$0	$208,500	$208,500	$150,000	12/17/2007	$145,048	07/18/1991	$0	$1,600	$1,600	$0	$184,800	$184,800	20:18:57	855
1367	179 PINNACLE RD	416/  4/  /  / 	  1924/0324	$209,600	$209,600	9.5	1300	RES ACLNDV	RD	1	2021	$1,900	$207,700	$209,600	$0	08/16/1991			$3,300	$162,900	$166,200	$3,300	$162,900	$166,200	20:18:58	856
1373	226 PINNACLE RD	416/  10/  /  / 	  4635/ 115	$1,404,700	$1,599,700	44.50	1090	MULTI HSES	RD	2	2021	$970,800	$628,900	$1,599,700	$0	05/25/2021	$190,000	12/19/1984	$946,000	$403,700	$1,349,700	$946,000	$580,800	$1,526,800	20:18:59	857
1171	177 GRAFTON TK	413/  7/  /  / 	  2508/0665	$1,200	$83,700	14.3	6225	HWUN-5	ELD	1	2021	$0	$83,700	$83,700	$25,000	12/19/2000	$18,500	02/27/1987	$0	$1,200	$1,200	$0	$65,400	$65,400	20:19:00	858
1374	15 DAVISON LN	416/  11/  /  / 	  4124/0466	$496,700	$496,700	9.35	1010	SINGLE FAM MDL01	RD	1	2021	$271,300	$225,400	$496,700	$0	04/24/2015	$65,000	06/06/1975	$181,700	$207,800	$389,500	$181,700	$207,800	$389,500	20:19:01	859
1379	30 DAVISON LN	416/  14/  /  / 	  1783/0870	$4,300	$144,500	65.7	6235	HWUNR-5		1	2021	$0	$144,500	$144,500	$7,722	12/30/1988			$0	$4,300	$4,300	$0	$131,400	$131,400	20:19:02	860
1382	16 DAVISON LN	416/  16/  /  / 	  4383/0408	$958,600	$958,600	3.6	1010	SINGLE FAM MDL01		1	2021	$613,200	$345,400	$958,600	$880,000	08/22/2018	$330,000	10/18/1989	$495,200	$390,700	$885,900	$495,200	$390,700	$885,900	20:19:03	861
1187	194 GRAFTON TK	413/  13/  /  / 	  2490/0597	$500	$72,300	6.3	6225	HWUN-5	ELD	1	2021	$0	$72,300	$72,300	$27,533	09/29/2000	$1	06/05/1981	$0	$500	$500	$0	$55,000	$55,000	20:19:04	862
1384	196 PINNACLE RD	416/  18/  /  / 	  3478/0839	$860,400	$1,223,800	58.9	1010	SINGLE FAM MDL01	RD	1	2021	$633,900	$589,900	$1,223,800	$0	12/21/2007			$514,900	$340,200	$855,100	$514,900	$553,900	$1,068,800	20:19:05	863
1385	192 PINNACLE RD	416/  19/  /  / 	 04357/0060	$768,500	$878,900	10.51	1010	SINGLE FAM MDL01	RD	1	2021	$596,200	$282,700	$878,900	$837,500	04/30/2018	$4,000	12/09/1994	$468,200	$224,500	$692,700	$468,200	$313,500	$781,700	20:19:06	864
1386	25 PONY HILL LN	416/  20/  /  / 	002951/0697	$1,206,700	$1,530,600	48	1010	SINGLE FAM MDL01	RD	1	2021	$800,900	$729,700	$1,530,600	$800,000	01/23/2004			$843,000	$392,100	$1,235,100	$843,000	$684,800	$1,527,800	20:19:06	865
1388	3 TROUT POND LN	416/  22/  /  / 	PRO-2012	$8,200	$264,000	135	6222	HWUN-2	MFD	1	2021	$0	$264,000	$264,000	$0	06/08/2012	$3,000	03/01/1966	$0	$8,200	$8,200	$0	$234,700	$234,700	20:19:07	866
1389	36 PONY HILL LN	416/  23/  /  / 	  1295/0448	$336,800	$365,700	15	1010	SINGLE FAM MDL01	RD	1	2021	$159,400	$206,300	$365,700	$0				$111,500	$141,900	$253,400	$111,500	$179,500	$291,000	20:19:08	867
1394	100 DAVISON LN	416/  24/  /  / 	  2299/0262	$11,800	$166,300	378	6213	HWMR-3		1	2021	$0	$166,300	$166,300	$0	02/24/1998	$20,000	02/02/1996	$0	$11,800	$11,800	$0	$151,200	$151,200	20:19:09	868
1399	281 SMITH MOUNTAIN RD	416/  25/  /  / 	  3081/0934	$3,600	$61,600	70	6233	HWUNR-3	MFD	1	2021	$0	$61,600	$61,600	$9,800	11/30/2004			$0	$3,600	$3,600	$0	$56,000	$56,000	20:19:10	869
1400	180 CELLARS LN	416/  26/  /  / 	  3081/0934	$6,300	$93,700	131	6232	HWUNR-2	MFD	1	2021	$0	$93,700	$93,700	$9,800	11/30/2004			$0	$6,300	$6,300	$0	$85,200	$85,200	20:19:11	870
1401	190 CELLARS LN	416/  27/  /  / 	  3759/0935	$3,300	$49,300	56	6323	OTUN-3	MFD	1	2021	$0	$49,300	$49,300	$2,086,533	12/17/2010			$0	$3,300	$3,300	$0	$44,800	$44,800	20:19:11	871
1402	115 ORFORDVILLE RD	417/  1/  /  / 	  2621/0721	$4,000	$305,600	30.1	6325	OTUN-5	RD	1	2021	$0	$305,600	$305,600	$150,000	01/07/2002	$65,048	03/25/1992	$0	$4,000	$4,000	$0	$220,100	$220,100	20:19:12	872
1403	137 ORFORDVILLE RD	417/  2/  /  / 	  3231/0774	$100	$8,500	3.1	6810	WETLANDS-REC	RD	1	2021	$0	$8,500	$8,500	$0	12/12/2005	$144,000	11/19/1994	$0	$100	$100	$0	$7,800	$7,800	20:19:13	873
1410	120 ORFORDVILLE RD	417/  6/  1000/  / 	  1920/0238	$274,600	$358,200	11.15	1010	SINGLE FAM MDL01	RD	1	2021	$165,400	$192,800	$358,200	$55,048	07/18/1991			$153,800	$114,800	$268,600	$153,800	$184,100	$337,900	20:19:14	874
1412	124 CELLARS LN	417/  7/  /  / 	  4157/  66	$202,900	$311,900	25.00	1010	SINGLE FAM MDL01	MFD	1	2021	$105,000	$206,900	$311,900	$0	09/09/2015	$4,000	02/25/1974	$96,200	$75,900	$172,100	$96,200	$174,600	$270,800	20:19:15	875
1413	395 SMITH MOUNTIAN RD	418/  1/  /  / 	  2008/0656	$2,100	$86,600	35	6221	HWUN-1	MFD	1	2021	$0	$86,600	$86,600	$4,000	12/28/1992			$0	$2,100	$2,100	$0	$78,800	$78,800	20:19:16	876
1417	370 SMITH MOUNTAIN RD	418/  3/  /  / 	  1411/0301	$16,700	$345,400	314	6234	HWUNR-4	MFD	1	2021	$0	$345,400	$345,400	$60,000	12/02/1980			$0	$16,700	$16,700	$0	$374,000	$374,000	20:19:17	877
101204	 WHIPPLE HILL RD	407/  86/  6000/  / 	  2524/0286	$2,800	$206,800	7.61	6506	FARM-6	RD	1	2021	$0	$206,800	$206,800	$0	03/21/2001	$500,000	11/18/1986	$0	$2,800	$2,800	$0	$161,000	$161,000	20:19:17	878
101205	 WHIPPLE HILL RD	407/  86/  7000/  / 	  2524/0286	$2,500	$213,100	7.5	6126	WPUN-6	RD	1	2021	$0	$213,100	$213,100	$0	03/21/2001	$500,000	11/18/1986	$0	$2,500	$2,500	$0	$159,500	$159,500	20:19:18	879
101262	46 POUT POND LN	414/  65/  /  / 	  4541/ 909	$591,300	$649,200	12.14	1010	SINGLE FAM MDL01	RD	1	2021	$405,400	$243,800	$649,200	$702,000	08/03/2020	$13,500	07/20/2000	$380,700	$163,700	$544,400	$380,700	$216,300	$597,000	20:19:19	880
101203	 WHIPPLE HILL RD	407/  86/  5000/  / 	  2524/0286	$6,400	$244,300	15.1	6506	FARM-6	RD	1	2021	$0	$244,300	$244,300	$0	03/21/2001	$500,000	11/18/1986	$0	$6,400	$6,400	$0	$195,100	$195,100	20:19:21	881
100822	605 RIVER RD	405/  26/  /  / 	  3561/0702	$437,800	$781,500	22.00	1013	SFR WATER  MDL-01	RD	1	2021	$147,600	$633,900	$781,500	$817,533	10/31/2008			$134,100	$265,300	$399,400	$134,100	$557,300	$691,400	20:19:22	882
102854	158 GOOSE POND RD	401/  31/  2000/  / 	  4274/0187	$158,700	$158,700	1.04	1010	SINGLE FAM MDL01	RD	1	2021	$67,300	$91,400	$158,700	$0	03/23/2017			$45,900	$69,600	$115,500	$45,900	$69,600	$115,500	20:19:23	883
100863	161 GOOSE POND RD	401/  23/  1200/  / 	  2966/0694	$267,300	$267,300	3.44	1010	SINGLE FAM MDL01		1	2021	$162,900	$104,400	$267,300	$0	02/29/2004	$25,000	06/18/1999	$154,900	$81,500	$236,400	$154,900	$81,500	$236,400	20:19:24	884
101082	10 WHIPPLE HILL RD-GRAVELPIT	407/  86/  1100/  / 	  2524/0286	$179,500	$179,500	4.27	4430	GRAVEL PIT	RD	1	2021	$0	$179,500	$179,500	$0	03/21/2001			$0	$135,200	$135,200	$0	$135,200	$135,200	20:19:25	885
101143	53 SMITH MOUNTAIN RD	414/  15/  /  / 	  2491/0503	$796,000	$884,500	24.5	1010	SINGLE FAM MDL01		1	2021	$588,800	$295,700	$884,500	$0	09/06/2000			$503,500	$142,500	$646,000	$503,500	$222,700	$726,200	20:19:26	886
100582	85 DARTMOUTH COLLEGE HY #9030	401/  55/  903/  / 	  4284/0022	$385,200	$385,200	0.00	1021	CONDO NL  MDL-05	BD	1	2021	$385,200	$0	$385,200	$0	05/15/2017	$310,000	05/20/2009	$346,100	$0	$346,100	$346,100	$0	$346,100	20:19:27	887
100622	81 BRECK HILL RD	405/  3/  /  / 	  2468/0135	$1,500	$54,500	8.26	6126	WPUN-6	RD	1	2021	$0	$54,500	$54,500	$280,000	05/09/2000	$6,000	08/13/1988	$0	$1,500	$1,500	$0	$49,600	$49,600	20:19:28	888
100142	85 DARTMOUTH COLLEGE HY #1010	401/  55/  101/  / 	  4263/0860	$217,500	$217,500	0.00	1021	CONDO NL  MDL-05	BD	1	2021	$217,500	$0	$217,500	$0	01/25/2017	$179,933	02/27/2003	$185,200	$0	$185,200	$185,200	$0	$185,200	20:19:29	889
100162	85 DARTMOUTH COLLEGE HY #1020	401/  55/  102/  / 	  3704/0320	$217,500	$217,500	0	1021	CONDO NL  MDL-05	BD	1	2021	$217,500	$0	$217,500	$192,000	05/13/2010	$215,000	05/19/2005	$185,200	$0	$185,200	$185,200	$0	$185,200	20:19:30	890
100163	85 DARTMOUTH COLLEGE HY #1030	401/  55/  103/  / 	  4220/0349	$251,600	$251,600	0	1021	CONDO NL  MDL-05	BD	1	2021	$251,600	$0	$251,600	$235,000	07/18/2016	$230,000	10/15/2003	$229,300	$0	$229,300	$229,300	$0	$229,300	20:19:30	891
100164	85 DARTMOUTH COLLEGE HY #1050	401/  55/  105/  / 	  4210/0461	$244,700	$244,700	0	1021	CONDO NL  MDL-05	BD	1	2021	$244,700	$0	$244,700	$225,000	05/31/2016	$245,000	06/12/2007	$213,500	$0	$213,500	$213,500	$0	$213,500	20:19:31	892
100243	82 NORTH THETFORD RD	407/  53/  4000/  / 	PRO315-2010	$637,100	$708,100	11.18	1010	SINGLE FAM MDL01	RD	1	2021	$478,200	$229,900	$708,100	$0	02/01/2012	$650,000	07/12/2005	$388,000	$131,300	$519,300	$388,000	$194,600	$582,600	20:19:32	893
100282	205 ORFORD RD	407/  53/  3000/  / 	  4211/0344	$736,000	$736,000	8.7	1010	SINGLE FAM MDL01	RD	1	2021	$545,900	$190,100	$736,000	$591,500	06/07/2016	$60,000	09/23/1999	$447,700	$161,300	$609,000	$447,700	$161,300	$609,000	20:19:33	894
100462	85 DARTMOUTH COLLEGE HY #2030	401/  55/  203/  / 	  4299/0751	$204,700	$204,700	0	1021	CONDO NL  MDL-05		1	2021	$204,700	$0	$204,700	$195,000	07/24/2017	$189,000	05/13/2010	$188,700	$0	$188,700	$188,700	$0	$188,700	20:19:34	895
100000	106 PRESTON RD	402/  18/  1000/  / 	  3944/0114	$933,100	$1,006,700	15.33	1010	SINGLE FAM MDL01	RD	1	2021	$765,900	$240,800	$1,006,700	$0	12/28/2012	$160,000	01/20/2004	$681,800	$174,100	$855,900	$681,800	$237,700	$919,500	20:19:35	896
636	131 MUD TURTLE POND RD	406/  33/  /  / 	  2060/0453	$4,200	$4,200	1.1	1320	RES ACLNUD	RD	1	2021	$0	$4,200	$4,200	$1,111	11/12/1993	$154	05/10/1993	$0	$3,300	$3,300	$0	$3,300	$3,300	20:19:36	897
100322	117 BRECK HILL RD	405/  7/  /  / 	2160-0298	$4,300	$77,200	14.78	6514	FARMR-4	RD	1	2021	$0	$77,200	$77,200	$565,000	09/20/1995	$4,000	07/24/1989	$0	$4,300	$4,300	$0	$70,300	$70,300	20:19:37	898
1019	41 ISAAC PERKINS RD	409/  64/  /  / 	  1830/  26	$428,300	$428,300	3.2	1010	SINGLE FAM MDL01	RD	1	2021	$265,300	$163,000	$428,300	$37,263	10/26/1989			$253,200	$126,000	$379,200	$253,200	$126,000	$379,200	20:19:37	899
1101	59 PICO RD	410/  38/  /  / 	  4449/0260	$303,900	$303,900	2.07	1010	SINGLE FAM MDL01	RD	1	2021	$176,500	$127,400	$303,900	$320,000	07/10/2019	$262,733	07/28/2006	$157,500	$86,200	$243,700	$157,500	$86,200	$243,700	20:19:38	900
1124	183 GOOSE POND RD	410/  61/  /  / 	  1393/ 175	$134,500	$134,500	1.9	1030	MOBILE HOM  MDL-02	RD	1	2021	$39,500	$95,000	$134,500	$0				$120,300	$68,900	$189,200	$120,300	$68,900	$189,200	20:19:39	901
101243	32 POUT POND LN	409/  23/  1000/  / 	002703/0615	$842,500	$842,500	7.67	1010	SINGLE FAM MDL01	RD	1	2021	$621,200	$221,300	$842,500	$99,000	08/22/2002			$486,400	$188,500	$674,900	$486,400	$188,500	$674,900	20:19:40	902
100182	85 DARTMOUTH COLLEGE HY #1040	401/  55/  104/  / 	  4666/ 182	$377,100	$377,100	0	1021	CONDO NL  MDL-05		1	2021	$377,100	$0	$377,100	$390,000	09/01/2021	$345,000	07/16/2019	$326,100	$0	$326,100	$326,100	$0	$326,100	20:19:41	903
1192	17 CANAAN LEDGE LN (L/O)	413/  19/  /  / 	 	$22,300	$22,300	2.7	9035	TOWN-PROP	ELD	1	2021	$0	$22,300	$22,300	$0				$0	$18,100	$18,100	$0	$18,100	$18,100	20:19:42	904
102	3 MAIN ST	201/  71/  /  / 	 	$111,500	$111,500	0.63	9010	STATE NH	LCD	1	2021	$7,500	$104,000	$111,500	$0				$7,500	$91,900	$99,400	$7,500	$91,900	$99,400	20:19:43	905
138	1 DORCHESTER RD	201/  95/  /  / 	  1005/ 574	$1,440,500	$1,440,500	0.33	906I	CHURCH ETC  MDL-96	LCD	1	2021	$1,194,500	$246,000	$1,440,500	$0				$1,092,000	$237,600	$1,329,600	$1,092,000	$237,600	$1,329,600	20:19:46	906
231	162 GOOSE POND RD	401/  31/  1000/  / 	   PC-/1985	$174,100	$174,100	1.03	1010	SINGLE FAM MDL01	RD	1	2021	$82,800	$91,300	$174,100	$0	09/12/1985			$57,100	$69,500	$126,600	$57,100	$69,500	$126,600	20:19:47	907
101582	 DORCHESTER RD	414/  48/  /  / 		$2,800	$118,800	54	6233	HWUNR-3		1	2021	$0	$118,800	$118,800	$0				$0	$2,800	$2,800	$0	$108,000	$108,000	20:19:48	908
274	20 WILMOTT WY	401/  64/  /  / 	  2107/0953	$369,700	$369,700	6	1010	SINGLE FAM MDL01	RD	1	2021	$230,700	$139,000	$369,700	$110,000	08/31/1994			$197,900	$101,700	$299,600	$197,900	$101,700	$299,600	20:19:48	909
100642	60 BRECK HILL RD	405/  49/  /  / 	  2468/0135	$33,000	$33,000	5	1320	RES ACLNUD	RD	1	2021	$0	$33,000	$33,000	$280,000	05/09/2000			$0	$30,000	$30,000	$0	$30,000	$30,000	20:19:51	910
537	125 BRECK HILL RD	405/  8/  /  / 	  4464/0381	$856,200	$856,200	4.06	1010	SINGLE FAM MDL01	RD	1	2021	$544,100	$312,100	$856,200	$900,000	09/11/2019	$230,900	10/07/1996	$601,700	$274,900	$876,600	$601,700	$274,900	$876,600	20:19:54	911
649	45 POST POND LN	407/  10/  /  / 	  2039/0056	$573,400	$573,400	0.42	1013	SFR WATER  MDL-01		1	2021	$318,500	$254,900	$573,400	$357,524	07/23/1993	$115,053	02/20/1990	$282,700	$268,400	$551,100	$282,700	$268,400	$551,100	20:19:54	912
720	216 ORFORD RD	407/  56/  1000/  / 	  4488/ 947	$388,200	$388,200	5.04	1010	SINGLE FAM MDL01	RD	1	2021	$213,000	$175,200	$388,200	$359,000	12/18/2019	$290,000	06/25/2014	$153,400	$137,000	$290,400	$153,400	$137,000	$290,400	20:19:55	913
311	92 PRESTON RD	402/  19/  /  / 	  3718/0951	$15,600	$637,800	146.1	6235	HWUNR-5	RD	1	2021	$0	$637,800	$637,800	$494,000	07/07/2010	$233,760	12/30/1986	$0	$15,600	$15,600	$0	$537,000	$537,000	20:19:56	914
234	148 GOOSE POND RD	401/  34/  /  / 	  4038/0683	$362,900	$362,900	1.9	1010	SINGLE FAM MDL01	RD	1	2021	$228,500	$134,400	$362,900	$290,000	01/31/2014	$45,000	04/06/2004	$234,500	$78,100	$312,600	$234,500	$78,100	$312,600	20:19:57	915
238	104 GOOSE POND RD	401/  38/  /  / 	  4166/ 733	$282,400	$282,400	2.6	1010	SINGLE FAM MDL01	RD	1	2021	$149,100	$133,300	$282,400	$0	10/15/2015	$155,000	05/01/2013	$108,100	$93,500	$201,600	$108,100	$93,500	$201,600	20:19:59	916
243	54 GOOSE POND RD	401/  40/  /  / 	  4586/ 837	$900	$9,700	1.1	1300	RES ACLNDV	RD	1	2021	$0	$9,700	$9,700	$1,845,000	12/21/2020	$315,000	07/22/2009	$0	$900	$900	$0	$8,800	$8,800	20:20:00	917
277	62 RIVER RD	401/  67/  /  / 	  4102/0216	$1,500	$58,200	4.4	6516	FARMR-6	RD	1	2021	$0	$58,200	$58,200	$550,000	12/19/2014	$300,000	11/20/2007	$0	$1,500	$1,500	$0	$48,300	$48,300	20:20:01	918
291	85 RIVER RD	401/  78/  /  / 	  4102/0216	$6,400	$139,200	20	6515	FARMR-5	RD	1	2021	$0	$139,200	$139,200	$550,000	12/19/2014			$0	$6,400	$6,400	$0	$117,400	$117,400	20:20:01	919
303	23 WASHBURN HILL RD	402/  11/  /  / 	  3835/0890	$571,300	$571,300	7.90	1040	TWO FAMILY	RD	2	2021	$392,100	$179,200	$571,300	$0	11/16/2011	$20,650	12/18/1999	$310,800	$142,900	$453,700	$310,800	$142,900	$453,700	20:20:02	920
317	71 PRESTON RD	402/  25/  /  / 	  2411/0774	$514,700	$514,700	2	1010	SINGLE FAM MDL01		1	2021	$361,800	$152,900	$514,700	$289,500	08/06/1999	$155,000	08/21/1989	$361,600	$127,700	$489,300	$361,600	$127,700	$489,300	20:20:04	921
122	32 PLEASANT ST	201/  85/  /  / 	  4599/ 918	$406,300	$406,300	0.7	1010	SINGLE FAM MDL01	LCD	1	2021	$273,000	$133,300	$406,300	$0	02/23/2021	$375,000	01/28/2005	$223,700	$105,800	$329,500	$223,700	$105,800	$329,500	20:20:05	922
124	26+28 PLEASANT ST	201/  87/  /  / 	  4171/ 903	$577,900	$577,900	1	1050	THREE FAM	LCD	2	2021	$354,900	$223,000	$577,900	$455,000	11/17/2015			$326,200	$140,700	$466,900	$326,200	$140,700	$466,900	20:20:06	923
142	11 DORCHESTER RD	201/  99/  /  / 	  4466/0210	$393,700	$393,700	1.71	1010	SINGLE FAM MDL01	LCD	1	2021	$183,800	$209,900	$393,700	$365,000	09/19/2019	$350,000	12/18/2007	$190,500	$184,600	$375,100	$190,500	$184,600	$375,100	20:20:07	924
152	38 HIGH ST	201/  105/  /  / 	  2446/0833	$260,000	$260,000	0.22	1010	SINGLE FAM MDL01	LCD	1	2021	$175,200	$84,800	$260,000	$0	02/15/2000	$4,000	08/08/1960	$130,800	$70,400	$201,200	$130,800	$70,400	$201,200	20:20:08	925
169	12 CREAMERY LN	201/  119/  /  / 	  4210/0547	$265,300	$265,300	0.61	1010	SINGLE FAM MDL01	LCD	1	2021	$154,200	$111,100	$265,300	$0	06/03/2016	$90,000	12/10/2013	$130,800	$92,200	$223,000	$130,800	$92,200	$223,000	20:20:08	926
180	19 ROCKY HILL LN	201/  130/  /  / 	  3840/0869	$812,100	$882,500	18.7	1010	SINGLE FAM MDL01		1	2021	$597,800	$284,700	$882,500	$0	12/06/2011	$653,000	07/19/2011	$557,700	$225,900	$783,600	$557,700	$289,900	$847,600	20:20:09	927
201	114 DARTMOUTH COLLEGE HY	401/  13/  1000/  / 	  4596/  46	$457,500	$574,400	29.93	1010	SINGLE FAM MDL01	RD	1	2021	$322,700	$251,700	$574,400	$580,000	01/21/2021	$501,200	09/30/2008	$350,000	$101,500	$451,500	$350,000	$229,300	$579,300	20:20:10	928
202	20 PRESTON RD	401/  13/  2000/  / 	  2400/0641	$685,600	$1,166,800	112.33	1010	SINGLE FAM MDL01	RD	1	2021	$392,300	$774,500	$1,166,800	$0	05/12/1999	$320,000	12/28/1995	$377,800	$227,900	$605,700	$377,800	$664,500	$1,042,300	20:20:11	929
100122	378 DORCHESTER RD	414/  55/  /  / 	  4246/0965	$546,700	$667,300	30	1010	SINGLE FAM MDL01	R	1	2021	$386,900	$280,400	$667,300	$0	10/09/2016	$115,000	07/17/2000	$316,200	$125,500	$441,700	$316,200	$234,500	$550,700	20:20:12	930
55	6 ON THE COMMON UNIT #6	201/  35/  0060/  / 	  2558/0753	$195,600	$195,600	0	1021	CONDO NL  MDL-05	CD	1	2021	$195,600	$0	$195,600	$2,666	06/21/2001	$94,500	06/29/2000	$151,200	$0	$151,200	$151,200	$0	$151,200	20:20:13	931
57	2 ON THE COMMON	201/  37/  /  / 	  4472/0485	$964,700	$964,700	1.4	1010	SINGLE FAM MDL01	LCD	1	2021	$734,700	$230,000	$964,700	$985,000	10/10/2019	$275,000	01/10/2003	$714,200	$202,400	$916,600	$714,200	$202,400	$916,600	20:20:13	932
62	30 UNION ST	201/  42/  /  / 	  2469/0823	$649,200	$649,200	0.46	1010	SINGLE FAM MDL01	LCD	2	2021	$485,300	$163,900	$649,200	$174,000	06/23/2000			$404,000	$172,100	$576,100	$404,000	$172,100	$576,100	20:20:15	933
65	24 UNION ST	201/  45/  /  / 	  4164/ 281	$544,900	$544,900	1.1	1010	SINGLE FAM MDL01	LCD	1	2021	$316,000	$228,900	$544,900	$0	10/01/2015	$460,000	04/26/2013	$288,100	$201,400	$489,500	$288,100	$201,400	$489,500	20:20:16	934
67	20 UNION ST (BIG ROCK)	201/  47/  /  / 	  3059/0499	$103,200	$103,200	12.82	9200	NON PROFIT  MDL-00	LCD	1	2021	$0	$103,200	$103,200	$0	09/29/2004	$475,000	05/29/2001	$0	$87,400	$87,400	$0	$87,400	$87,400	20:20:17	935
77	13 UNION ST	201/  51/  2000/  / 	  3831/0623	$578,400	$578,400	2.07	1010	SINGLE FAM MDL01	LCD	1	2021	$343,500	$234,900	$578,400	$501,000	11/01/2011	$308,500	01/12/2002	$338,100	$206,800	$544,900	$338,100	$206,800	$544,900	20:20:18	936
88	1 HAMILTON LN	201/  62/  /  / 	  2467/0958	$156,600	$156,600	0.26	1010	SINGLE FAM MDL01	LCD	1	2021	$43,200	$113,400	$156,600	$0	06/15/2000	$55,000	04/12/1994	$36,900	$75,200	$112,100	$36,900	$75,200	$112,100	20:20:19	937
95	2 EAST THETFORD RD	201/  69/  /  / 	  2501/0649	$617,700	$617,700	0.72	1040	TWO FAMILY		1	2021	$410,100	$207,600	$617,700	$280,000	11/21/2000	$140,000	02/03/1993	$287,100	$189,100	$476,200	$287,100	$189,100	$476,200	20:20:20	938
