PID	Street Address	MBLU	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Year	Improvements	Land	Total	
505	599 RIVER RD	404/  30/  /  / 	$977,600	$1,187,700	29	1013	SFR WATER  MDL-01	RD	1	2016	$615,900	$571,800	$1,187,700	10:04:50	497
83	29 UNION ST	201/  57/  /  / 	$321,500	$321,500	0.44	1010	SINGLE FAM MDL01	LCD	1	2016	$151,100	$170,400	$321,500	10:04:54	498
171	18 SPRING HILL LN	201/  122/  /  / 	$200	$106,000	6.21	6335	OTUNR-5	LCD	1	2016	$0	$106,000	$106,000	10:04:56	499
1099	43 PICO RD	410/  36/  /  / 	$300,700	$300,700	6.7	1010	SINGLE FAM MDL01	RD	1	2016	$190,800	$109,900	$300,700	10:04:58	500
100184	85 DARTMOUTH COLLEGE HY #7010	401/  55/  701/  / 	$356,600	$356,600	0.00	3401	OFF CONDO  MDL-06	BD	1	2016	$356,600	$0	$356,600	10:05:02	501
194	8 GOODELL LN	401/  9/  /  / 	$100	$10,800	2.7	6324	OTUN-4	RD	1	2016	$0	$10,800	$10,800	10:05:04	502
100202	345 GRAFTON TK	422/  1/  /  / 	$20,600	$766,400	752	6312	OTMR-2	MFD	1	2016	$0	$766,400	$766,400	10:05:07	503
100222	226 ORFORD RD	407/  56/  2000/  / 	$2,100	$147,000	5.02	6506	FARM-6	RD	1	2016	$0	$147,000	$147,000	10:05:08	504
100242	228 ORFORD RD	407/  56/  3000/  / 	$2,400	$150,700	5.64	6506	FARM-6	RD	1	2016	$0	$150,700	$150,700	10:05:12	505
100262	215 ORFORD RD	407/  53/  1000/  / 	$880,100	$948,700	14.9	1010	SINGLE FAM MDL01	RD	1	2016	$685,200	$263,500	$948,700	10:05:14	506
1243	321 DORCHESTER RD	414/  25/  /  / 	$3,400	$249,500	29	6235	HWUNR-5	RD	1	2016	$0	$249,500	$249,500	10:05:18	507
1046	150 DORCHESTER RD	409/  91/  /  / 	$221,300	$221,300	1.5	1010	SINGLE FAM MDL01		1	2016	$121,700	$99,600	$221,300	10:05:21	508
1069	180 BAKER HILL RD	410/  10/  2000/  / 	$1,600	$142,400	12	6515	FARMR-5	RD	1	2016	$0	$142,400	$142,400	10:05:23	509
1071	159 BAKER HILL RD	410/  12/  /  / 	$558,600	$558,600	2.26	1010	SINGLE FAM MDL01	RD	1	2016	$452,100	$106,500	$558,600	10:05:25	510
1076	15 BAILEY HILL LN	410/  13/  2000/  / 	$5,300	$180,600	34.1	6515	FARMR-5	RD	1	2016	$0	$180,600	$180,600	10:05:28	511
1079	101 BEAR HILL LN	410/  16/  /  / 	$100	$56,200	1.8	6133	WPUNR-3	RD	1	2016	$0	$56,200	$56,200	10:05:32	512
978	2 ACORN HILL RD	409/  31/  /  / 	$124,300	$124,300	1.1	1010	SINGLE FAM MDL01	RD	1	2016	$22,400	$101,900	$124,300	10:05:36	513
100422	85 DARTMOUTH COLLEGE HY #2010	401/  55/  201/  / 	$416,300	$416,300	0.00	1021	CONDO NL  MDL-05	BD	2	2016	$416,300	$0	$416,300	10:05:38	514
100442	85 DARTMOUTH COLLEGE HY #2020	401/  55/  202/  / 	$355,600	$355,600	0	1021	CONDO NL  MDL-05		1	2016	$355,600	$0	$355,600	10:05:40	515
1199	10 CANAAN LEDGE LN	413/  26/  /  / 	$206,500	$206,500	2.1	1010	SINGLE FAM MDL01	ELD	1	2016	$106,300	$100,200	$206,500	10:05:43	516
100463	85 DARTMOUTH COLLEGE HY #2040	401/  55/  204/  / 	$364,500	$364,500	0	1021	CONDO NL  MDL-05	BD	1	2016	$364,500	$0	$364,500	10:05:46	517
1196	18 CANAAN LEDGE LN	413/  23/  /  / 	$453,900	$453,900	2.2	1010	SINGLE FAM MDL01		1	2016	$347,600	$106,300	$453,900	10:05:49	518
100482	85 DARTMOUTH COLLEGE HY #4030	401/  55/  403/  / 	$197,100	$197,100	0.00	1021	CONDO NL  MDL-05	BD	1	2016	$197,100	$0	$197,100	10:05:51	519
1200	6 CANAAN LEDGE LN	413/  27/  /  / 	$221,700	$221,700	2	1010	SINGLE FAM MDL01	ELD	1	2016	$121,900	$99,800	$221,700	10:05:55	520
100522	85 DARTMOUTH COLLEGE HY #5010	401/  55/  501/  / 	$171,300	$171,300	0.00	1021	CONDO NL  MDL-05	BD	1	2016	$171,300	$0	$171,300	10:05:58	521
100523	85 DARTMOUTH COLLEGE HY #5020	401/  55/  502/  / 	$306,200	$306,200	0.00	1021	CONDO NL  MDL-05	BD	1	2016	$306,200	$0	$306,200	10:06:00	522
1214	57 POUT POND LN	414/  8/  /  / 	$200	$30,200	5.03	6334	OTUNR-4	RD	1	2016	$0	$30,200	$30,200	10:06:02	523
1229	67 SMITH MOUNTAIN RD	414/  16/  /  / 	$67,800	$110,300	11.30	1010	SINGLE FAM MDL01	RD	1	2016	$38,700	$71,600	$110,300	10:06:03	524
100602	64 BRECK HILL RD	405/  48/  /  / 	$2,100	$84,500	14.82	6136	WPUNR-6	RD	1	2016	$0	$84,500	$84,500	10:06:05	525
100662	100 ORFORDVILLE RD	417/  6/  2000/  / 	$2,600	$289,000	44.55	6326	OTUN-6	RD	1	2016	$0	$289,000	$289,000	10:06:07	526
100722	5 WILMOTT WY	401/  58/  /  / 	$441,100	$441,100	1.7	1010	SINGLE FAM MDL01	RD	1	2016	$248,500	$192,600	$441,100	10:06:09	527
659	65 POST POND LN	407/  19/  /  / 	$12,100	$12,100	0.17	1320	RES ACLNUD	RD	1	2016	$0	$12,100	$12,100	10:06:13	528
100742	19 MAPLE LN	402/  44/  /  / 	$547,400	$630,100	15.00	1080	SFR/ACC UNIT	RD	1	2016	$346,600	$283,500	$630,100	10:06:17	529
1100	14 CLAFLIN LN	410/  37/  /  / 	$400	$21,000	8.4	6335	OTUNR-5	RD	1	2016	$0	$21,000	$21,000	10:06:18	530
100263	78 NORTH THETFORD RD	404/  50/  /  / 	$687,900	$687,900	8.63	1010	SINGLE FAM MDL01	RD	1	2016	$516,000	$171,900	$687,900	10:06:19	531
1169	137 GRAFTON TK	413/  5/  /  / 	$655,600	$711,600	13.9	1010	SINGLE FAM MDL01	ELD	1	2016	$509,600	$202,000	$711,600	10:06:22	532
1103	75 PICO RD	410/  40/  /  / 	$3,100	$299,000	39.3	6335	OTUNR-5	RD	1	2016	$0	$299,000	$299,000	10:06:26	533
1120	293 BAKER HILL RD	410/  57/  /  / 	$477,400	$539,400	24.00	1010	SINGLE FAM MDL01	RD	1	2016	$336,800	$202,600	$539,400	10:06:28	534
653	53 POST POND LN	407/  14/  /  / 	$293,000	$293,000	0.46	1013	SFR WATER  MDL-01		1	2016	$94,600	$198,400	$293,000	10:06:32	535
673	72 POST POND LN	407/  22/  /  / 	$192,800	$220,800	12.71	1013	SFR WATER  MDL-01		1	2016	$51,500	$169,300	$220,800	10:06:33	536
389	123 RIVER RD	402/  91/  /  / 	$367,000	$367,000	0.34	1010	SINGLE FAM MDL01	RD	1	2016	$266,600	$100,400	$367,000	10:06:36	537
433	301 RIVER RD	403/  16/  /  / 	$129,800	$129,800	0.14	1013	SFR WATER  MDL-01	RD	1	2016	$53,300	$76,500	$129,800	10:06:40	538
439	323 RIVER RD	403/  22/  /  / 	$5,000	$5,000	0.38	1320	RES ACLNUD	RD	1	2016	$0	$5,000	$5,000	10:06:45	539
449	39 LAMPHIRE HILL LN	403/  32/  /  / 	$191,700	$191,700	3.5	1010	SINGLE FAM MDL01	RD	1	2016	$25,800	$165,900	$191,700	10:06:46	540
489	530 RIVER RD	404/  14/  /  / 	$550,300	$550,300	0.86	1013	SFR WATER  MDL-01	RD	1	2016	$306,000	$244,300	$550,300	10:06:49	541
491	522 RIVER RD	404/  16/  /  / 	$699,000	$1,047,700	103	1010	SINGLE FAM MDL01	RD	1	2016	$439,800	$607,900	$1,047,700	10:06:51	542
511	9 GREGORY RD	404/  36/  /  / 	$392,500	$392,500	2.5	1010	SINGLE FAM MDL01	RD	1	2016	$190,500	$202,000	$392,500	10:06:55	543
335	12 MAPLE LN	402/  41/  /  / 	$240,600	$240,600	2.7	1010	SINGLE FAM MDL01	RD	1	2016	$121,500	$119,100	$240,600	10:06:58	544
337	17 MAPLE LN	402/  43/  /  / 	$777,000	$777,000	3.00	1010	SINGLE FAM MDL01	RD	2	2016	$656,400	$120,600	$777,000	10:07:01	545
347	163 DARTMOUTH COLLEGE HY	402/  52/  /  / 	$24,200	$250,100	31.00	1060	AC LND IMP	RD	1	2016	$8,200	$241,900	$250,100	10:07:05	546
350	199 DARTMOUTH COLLEGE HY	402/  55/  /  / 	$45,700	$45,700	15.8	9200	NON PROFIT  MDL-00	RD	1	2016	$0	$45,700	$45,700	10:07:07	547
379	130 RIVER RD	402/  81/  /  / 	$143,300	$143,300	1	1030	MOBILE HOM  MDL-02	RD	1	2016	$39,200	$104,100	$143,300	10:07:09	548
383	96 RIVER RD	401/  79/  /  / 	$5,000	$314,100	76	6235	HWUNR-5	RD	1	2016	$0	$314,100	$314,100	10:07:12	549
208	47 GOOSE POND RD	401/  19/  /  / 	$271,100	$271,100	1.2	1010	SINGLE FAM MDL01	RD	1	2016	$172,800	$98,300	$271,100	10:07:14	550
222	5 PELTON LN	401/  26/  /  / 	$359,000	$359,000	5.05	1010	SINGLE FAM MDL01	RD	1	2016	$232,300	$126,700	$359,000	10:07:17	551
102691	42 HARDSCRABBLE LN	415/  10/  /  / 	$1,074,100	$1,193,600	35	1010	SINGLE FAM MDL01	RD	1	2016	$718,300	$475,300	$1,193,600	10:07:19	552
1061	216 BAKER HILL RD	410/  6/  /  / 	$278,800	$278,800	7.9	1061	ACESRYBLDG  MDL-01	RD	1	2016	$123,300	$155,500	$278,800	10:07:22	553
1064	190 BAKER HILL RD	410/  9/  1000/  / 	$614,000	$905,000	55.4	1010	SINGLE FAM MDL01	RD	1	2016	$492,900	$412,100	$905,000	10:07:24	554
1068	172 BAKER HILL RD	410/  10/  1000/  / 	$755,900	$885,800	40.52	1010	SINGLE FAM MDL01	RD	1	2016	$607,300	$278,500	$885,800	10:07:27	555
325	204 DARTMOUTH COLLEGE HY	402/  31/  /  / 	$911,000	$911,000	5.9	3560	PROF ASSOC	RD	1	2016	$713,100	$197,900	$911,000	10:07:29	556
795	121 PINNACLE RD	407/  104/  /  / 	$325,000	$325,000	3.3	1010	SINGLE FAM MDL01	RD	1	2016	$200,700	$124,300	$325,000	10:07:31	557
796	153 PINNACLE RD	407/  106/  /  / 	$101,000	$101,000	0.32	1010	SINGLE FAM MDL01	RD	1	2016	$48,000	$53,000	$101,000	10:07:32	558
797	1 ORFORDVILLE RD	407/  107/  /  / 	$713,100	$713,100	5.1	1080	SFR/ACC UNIT	RD	1	2016	$529,200	$183,900	$713,100	10:07:35	559
798	11 ORFORDVILLE RD	407/  108/  /  / 	$138,400	$417,100	183	1060	AC LND IMP	RD	1	2016	$5,200	$411,900	$417,100	10:07:40	560
801	92 HIGHBRIDGE RD	407/  111/  /  / 	$577,500	$996,700	107.82	1010	SINGLE FAM MDL01	RD	1	2016	$384,700	$612,000	$996,700	10:07:42	561
334	114 RIVER RD	402/  40/  /  / 	$530,200	$659,700	68.9	1010	SINGLE FAM MDL01	RD	1	2016	$375,400	$284,300	$659,700	10:07:45	562
336	11 MAPLE LN	402/  42/  /  / 	$325,800	$325,800	3.4	1010	SINGLE FAM MDL01	RD	1	2016	$205,600	$120,200	$325,800	10:07:47	563
339	48 SHOESTRAP RD	402/  45/  /  / 	$259,700	$259,700	0.95	1010	SINGLE FAM MDL01	RD	1	2016	$170,300	$89,400	$259,700	10:07:51	564
340	38 SHOESTRAP RD	402/  46/  /  / 	$483,200	$483,200	7.4	1010	SINGLE FAM MDL01	RD	1	2016	$350,400	$132,800	$483,200	10:07:54	565
341	30 SHOESTRAP RD	402/  47/  /  / 	$229,800	$229,800	0.34	1090	MULTI HSES	RD	2	2016	$149,100	$80,700	$229,800	10:07:57	566
343	28 SHOESTRAP RD	402/  48/  /  / 	$379,700	$379,700	7	1010	SINGLE FAM MDL01		1	2016	$220,700	$159,000	$379,700	10:08:01	567
344	16 SHOESTRAP RD	402/  49/  /  / 	$279,100	$630,800	93.00	1010	SINGLE FAM MDL01	RD	1	2016	$178,700	$452,100	$630,800	10:08:03	568
345	2 SHOESTRAP RD	402/  50/  /  / 	$367,700	$367,700	3.78	1010	SINGLE FAM MDL01	RD	1	2016	$248,600	$119,100	$367,700	10:08:05	569
346	155 DARTMOUTH COLLEGE HY	402/  51/  /  / 	$314,900	$314,900	0.87	904C	PRI SCHOOL  MDL-94	RD	1	2016	$195,900	$119,000	$314,900	10:08:07	570
355	215 DARTMOUTH COLLEGE HY	402/  57/  /  / 	$279,100	$279,100	122.4	9200	NON PROFIT  MDL-00	RD	1	2016	$0	$279,100	$279,100	10:08:10	571
348	173 DARTMOUTH COLLEGE HY	402/  53/  /  / 	$417,300	$417,300	3.18	1010	SINGLE FAM MDL01	RD	1	2016	$301,800	$115,500	$417,300	10:08:12	572
349	183 DARTMOUTH COLLEGE HY	402/  54/  /  / 	$93,300	$93,300	37.3	9200	NON PROFIT  MDL-00	RD	1	2016	$0	$93,300	$93,300	10:08:15	573
100542	85 DARTMOUTH COLLEGE HY #6010	401/  55/  601/  / 	$429,200	$429,200	0.00	1021	CONDO NL  MDL-05	BD	1	2016	$429,200	$0	$429,200	10:08:17	574
351	211 DARTMOUTH COLLEGE HY	402/  56/  /  / 	$391,100	$391,100	3.1	1010	SINGLE FAM MDL01	RD	1	2016	$276,100	$115,000	$391,100	10:08:18	575
100543	85 DARTMOUTH COLLEGE HY #8010	401/  55/  801/  / 	$496,700	$496,700	0.00	1021	CONDO NL  MDL-05	BD	1	2016	$496,700	$0	$496,700	10:08:22	576
100562	85 DARTMOUTH COLLEGE HY #9010	401/  55/  901/  / 	$393,600	$393,600	0.00	1021	CONDO NL  MDL-05	BD	2	2016	$393,600	$0	$393,600	10:08:25	577
100563	85 DARTMOUTH COLLEGE HY #9020	401/  55/  902/  / 	$313,300	$313,300	0.00	1021	CONDO NL  MDL-05	BD	1	2016	$313,300	$0	$313,300	10:08:28	578
1127	239 GOOSE POND RD	410/  64/  /  / 	$162,900	$304,000	30	1060	AC LND IMP	RD	1	2016	$39,800	$264,200	$304,000	10:08:31	579
1129	97 PICO RD	410/  66/  /  / 	$100	$71,800	3.6	6335	OTUNR-5	RD	1	2016	$0	$71,800	$71,800	10:08:34	580
1131	252 GOOSE POND RD	410/  68/  /  / 	$122,100	$320,800	64.37	1010	SINGLE FAM MDL01	RD	1	2016	$30,900	$289,900	$320,800	10:08:37	581
1132	240 GOOSE POND RD	410/  69/  /  / 	$672,100	$1,008,400	79	1010	SINGLE FAM MDL01	RD	1	2016	$529,300	$479,100	$1,008,400	10:08:39	582
1133	216 GOOSE POND RD	410/  70/  /  / 	$173,900	$173,900	6.7	1010	SINGLE FAM MDL01	RD	1	2016	$85,800	$88,100	$173,900	10:08:43	583
1137	176 GOOSE POND RD	410/  74/  /  / 	$75,500	$75,500	0.6	1030	MOBILE HOM  MDL-02	RD	1	2016	$12,800	$62,700	$75,500	10:08:47	584
1138	174 GOOSE POND RD	410/  75/  /  / 	$69,300	$69,300	0.17	1010	SINGLE FAM MDL01	RD	1	2016	$32,600	$36,700	$69,300	10:08:50	585
1140	321 BAKER HILL RD	410/  77/  /  / 	$295,600	$295,600	2.89	1010	SINGLE FAM MDL01	RD	1	2016	$211,300	$84,300	$295,600	10:08:52	586
1141	327 BAKER HILL RD	410/  78/  /  / 	$3,000	$3,000	0.76	1320	RES ACLNUD	RD	1	2016	$0	$3,000	$3,000	10:08:56	587
1142	331 BAKER HILL RD	410/  79/  /  / 	$158,400	$158,400	7.9	1030	MOBILE HOM  MDL-02	RD	1	2016	$61,500	$96,900	$158,400	10:08:57	588
1144	347 BAKER HILL RD	410/  80/  /  / 	$516,700	$701,100	40.8	1010	SINGLE FAM MDL01	RD	1	2016	$395,700	$305,400	$701,100	10:08:59	589
1149	311 GOOSE POND RD	411/  4/  /  / 	$257,700	$353,800	24	1010	SINGLE FAM MDL01	RD	1	2016	$127,500	$226,300	$353,800	10:09:02	590
1150	333 GOOSE POND RD	411/  5/  /  / 	$381,800	$381,800	10	1010	SINGLE FAM MDL01	RD	1	2016	$217,700	$164,100	$381,800	10:09:06	591
850	88 POST POND LN	408/  13/  /  / 	$144,900	$144,900	0.31	1013	SFR WATER  MDL-01	RD	1	2016	$45,400	$99,500	$144,900	10:09:09	592
851	86 POST POND LN	408/  14/  /  / 	$39,400	$141,700	36	1060	AC LND IMP	RD	1	2016	$1,400	$140,300	$141,700	10:09:12	593
852	108 POST POND LN	408/  15/  /  / 	$130,400	$130,400	0.20	1013	SFR WATER  MDL-01	RD	1	2016	$45,000	$85,400	$130,400	10:09:14	594
853	110 POST POND LN	408/  16/  /  / 	$168,000	$168,000	0.15	1013	SFR WATER  MDL-01	RD	1	2016	$104,000	$64,000	$168,000	10:09:17	595
854	Problem loading parcel PID 854
855	114 POST POND LN	408/  18/  /  / 	$130,500	$130,500	0.25	1013	SFR WATER  MDL-01	RD	1	2016	$52,900	$77,600	$130,500	10:09:21	597
858	60 MASA MOREY LN	408/  21/  /  / 	$8,700	$266,300	38.5	6516	FARMR-6	RD	1	2016	$0	$266,300	$266,300	10:09:24	598
860	42 ORFORD RD	408/  23/  /  / 	$7,000	$359,700	76.4	6234	HWUNR-4	RD	1	2016	$0	$359,700	$359,700	10:09:27	599
861	24 ORFORD RD	408/  24/  /  / 	$323,300	$323,300	1.6	1010	SINGLE FAM MDL01	RD	1	2016	$217,300	$106,000	$323,300	10:09:29	600
862	16 ORFORD RD	408/  25/  /  / 	$1,023,400	$1,023,400	8.97	920C	NON PROFIT  MDL-94	RD	1	2016	$750,000	$273,400	$1,023,400	10:09:33	601
863	21 SPRING HILL LN	408/  26/  /  / 	$300	$123,700	8.84	6335	OTUNR-5	RD	1	2016	$0	$123,700	$123,700	10:09:34	602
864	24 SPRING HILL LN	408/  27/  /  / 	$300	$115,500	8.74	6335	OTUNR-5	LCD	1	2016	$0	$115,500	$115,500	10:09:38	603
865	60 SPRING HILL LN	408/  28/  /  / 	$1,082,900	$1,209,500	43.79	1010	SINGLE FAM MDL01	RD	1	2016	$722,900	$486,600	$1,209,500	10:09:42	604
867	60 ROCKY HILL LN	408/  29/  /  / 	$1,606,000	$1,766,200	42.50	1010	SINGLE FAM MDL01	RD	3	2016	$1,013,800	$752,400	$1,766,200	10:09:43	605
868	45 DORCHESTER RD	408/  30/  /  / 	$447,800	$530,900	25.95	1010	SINGLE FAM MDL01	LCD	1	2016	$306,200	$224,700	$530,900	10:09:47	606
869	53 DORCHESTER RD	408/  31/  /  / 	$289,800	$289,800	4.29	1010	SINGLE FAM MDL01	LCD	1	2016	$163,800	$126,000	$289,800	10:09:51	607
871	61 DORCHESTER RD	408/  33/  /  / 	$495,900	$495,900	7.7	1010	SINGLE FAM MDL01	RD	1	2016	$313,200	$182,700	$495,900	10:09:53	608
872	63 DORCHESTER RD	408/  34/  /  / 	$553,300	$631,900	20.20	1010	SINGLE FAM MDL01	RD	2	2016	$411,800	$220,100	$631,900	10:09:57	609
873	30 CITADEL LN	408/  35/  /  / 	$824,800	$1,254,300	141.00	1090	MULTI HSES	RD	3	2016	$504,500	$749,800	$1,254,300	10:10:01	610
874	18 CITADEL LN	408/  36/  /  / 	$405,200	$405,200	9.4	1010	SINGLE FAM MDL01	RD	1	2016	$117,400	$287,800	$405,200	10:10:05	611
876	57 FRANKLIN HILL RD	408/  38/  /  / 	$404,500	$485,000	16.85	1010	SINGLE FAM MDL01	RD	1	2016	$157,300	$327,700	$485,000	10:10:07	612
878	83 FRANKLIN HILL RD	408/  40/  /  / 	$516,300	$634,000	16	1010	SINGLE FAM MDL01	RD	1	2016	$294,700	$339,300	$634,000	10:10:10	613
879	7 HORTON LN	408/  41/  /  / 	$297,600	$346,100	14.9	1010	SINGLE FAM MDL01	RD	1	2016	$167,000	$179,100	$346,100	10:10:12	614
880	11 HORTON LN	408/  42/  /  / 	$505,800	$544,500	11.69	1010	SINGLE FAM MDL01		1	2016	$345,800	$198,700	$544,500	10:10:15	615
100265	207 ORFORD RD	407/  53/  2000/  / 	$515,900	$515,900	6.87	1010	SINGLE FAM MDL01		1	2016	$345,400	$170,500	$515,900	10:10:17	616
100302	54 BAKER HILL RD	409/  81/  /  / 	$381,400	$381,400	4.13	1010	SINGLE FAM MDL01	SFR	1	2016	$221,900	$159,500	$381,400	10:10:20	617
959	173 DORCHESTER RD	409/  12/  2000/  / 	$307,800	$307,800	0.34	1010	SINGLE FAM MDL01	LCD	1	2016	$201,500	$106,300	$307,800	10:10:22	618
326	188 DARTMOUTH COLLEGE HY	402/  32/  /  / 	$476,900	$476,900	2.26	1010	SINGLE FAM MDL01		2	2016	$338,700	$138,200	$476,900	10:10:26	619
327	180 DARTMOUTH COLLEGE HY	402/  33/  /  / 	$270,500	$270,500	4.3	1030	MOBILE HOM  MDL-02	RD	1	2016	$166,900	$103,600	$270,500	10:10:29	620
328	174 DARTMOUTH COLLEGE HY	402/  34/  /  / 	$325,500	$325,500	2.9	1010	SINGLE FAM MDL01	RD	2	2016	$201,300	$124,200	$325,500	10:10:32	621
329	166 DARTMOUTH COLLEGE HY	402/  35/  /  / 	$188,900	$188,900	0.47	1010	SINGLE FAM MDL01	RD	1	2016	$105,000	$83,900	$188,900	10:10:34	622
330	156 DARTMOUTH COLLEGE HY	402/  36/  /  / 	$277,000	$338,100	13.9	1010	SINGLE FAM MDL01		1	2016	$176,300	$161,800	$338,100	10:10:38	623
331	150 DARTMOUTH COLLEGE HY	402/  37/  /  / 	$171,100	$171,100	1.5	1010	SINGLE FAM MDL01	RD	1	2016	$75,800	$95,300	$171,100	10:10:41	624
333	39 SHOESTRAP RD (OLD DUMP)	402/  39/  /  / 	$12,100	$12,100	1.8	9035	TOWN-PROP	RD	1	2016	$0	$12,100	$12,100	10:10:43	625
1151	349 GOOSE POND RD	411/  6/  /  / 	$299,700	$299,700	135	9000	US GOVT	RD	1	2016	$0	$299,700	$299,700	10:10:45	626
1152	371 GOOSE POND RD	411/  7/  /  / 	$4,800	$260,400	59.98	6334	OTUNR-4	RD	1	2016	$0	$260,400	$260,400	10:10:47	627
1154	354 GOOSE POND RD	411/  9/  /  / 	$79,000	$79,000	5.4	9000	US GOVT	RD	1	2016	$0	$79,000	$79,000	10:10:51	628
1155	334 GOOSE POND RD	411/  10/  /  / 	$1,100	$168,200	17	6235	HWUNR-5	RD	1	2016	$0	$168,200	$168,200	10:10:55	629
1156	322 GOOSE POND RD	411/  11/  /  / 	$447,100	$512,400	15	1010	SINGLE FAM MDL01	RD	1	2016	$333,100	$179,300	$512,400	10:10:59	630
1157	310 GOOSE POND RD	411/  12/  /  / 	$182,600	$230,900	11.3	1010	SINGLE FAM MDL01	RD	1	2016	$87,100	$143,800	$230,900	10:11:01	631
1158	290 GOOSE POND RD	411/  13/  /  / 	$4,400	$249,000	37	6135	WPUNR-5	RD	1	2016	$0	$249,000	$249,000	10:11:03	632
1163	330 GRAFTON TK	412/  2/  /  / 	$3,600	$172,600	55	6235	HWUNR-5	MFD	1	2016	$0	$172,600	$172,600	10:11:07	633
1164	280 GRAFTON TK	412/  3/  /  / 	$102,500	$2,526,900	2076	6335	OTUNR-5	MFD	1	2016	$0	$2,526,900	$2,526,900	10:11:11	634
1166	107 GRAFTON TK	413/  2/  /  / 	$312,100	$312,100	7	1010	SINGLE FAM MDL01	ELD	1	2016	$191,000	$121,100	$312,100	10:11:15	635
1167	117 GRAFTON TK	413/  3/  /  / 	$244,000	$244,000	5.8	1010	SINGLE FAM MDL01	ELD	1	2016	$132,500	$111,500	$244,000	10:11:18	636
1170	139 GRAFTON TK	413/  6/  /  / 	$417,400	$533,700	27.3	1010	SINGLE FAM MDL01	ELD	1	2016	$274,400	$259,300	$533,700	10:11:20	637
1173	210 GRAFTON TPK	413/  9/  /  / 	$97,600	$219,300	66	1010	SINGLE FAM MDL01	ELD	1	2016	$52,300	$167,000	$219,300	10:11:22	638
1177	21 TYLER HILL RD	413/  10/  /  / 	$13,700	$292,700	286	6232	HWUNR-2	MFD	1	2016	$0	$292,700	$292,700	10:11:26	639
954	167 DORCHESTER RD	409/  10/  /  / 	$263,900	$263,900	0.82	1010	SINGLE FAM MDL01		1	2016	$128,500	$135,400	$263,900	10:11:30	640
955	169 DORCHESTER RD	409/  11/  /  / 	$172,800	$172,800	0.6	1010	SINGLE FAM MDL01	LCD	1	2016	$78,700	$94,100	$172,800	10:11:34	641
958	171 DORCHESTER RD	409/  12/  1000/  / 	$368,300	$368,300	0.45	1010	SINGLE FAM MDL01	LCD	1	2016	$254,000	$114,300	$368,300	10:11:36	642
782	37+51 PINNACLE RD	407/  96/  1100/  / 	$1,068,400	$1,172,700	43.10	1060	AC LND IMP	RD	2	2016	$760,400	$412,300	$1,172,700	10:11:38	643
783	45 PINNACLE RD	407/  96/  1200/  / 	$223,700	$223,700	3.1	1010	SINGLE FAM MDL01	RD	1	2016	$117,400	$106,300	$223,700	10:11:41	644
784	39 PINNACLE RD	407/  96/  2000/  / 	$150,700	$150,700	5.59	1060	AC LND IMP	RD	1	2016	$10,400	$140,300	$150,700	10:11:43	645
786	63 PINNACLE RD	407/  98/  /  / 	$730,900	$799,000	22.00	1010	SINGLE FAM MDL01		2	2016	$419,400	$379,600	$799,000	10:11:46	646
788	75 PINNACLE RD	407/  100/  /  / 	$217,300	$217,300	5.1	1010	SINGLE FAM MDL01	RD	1	2016	$95,300	$122,000	$217,300	10:11:49	647
789	83 PINNACLE RD	407/  101/  /  / 	$296,500	$380,100	10.73	1010	SINGLE FAM MDL01	RD	1	2016	$194,500	$185,600	$380,100	10:11:52	648
792	91 PINNACLE RD	407/  102/  1000/  / 	$545,700	$545,700	6.97	1010	SINGLE FAM MDL01	RD	1	2016	$408,600	$137,100	$545,700	10:11:54	649
793	109 PINNACLE RD	407/  102/  2000/  / 	$2,800	$222,500	37.78	6503	FARM-3	RD	1	2016	$0	$222,500	$222,500	10:11:55	650
363	5 SLOAN LN	402/  65/  /  / 	$423,100	$423,100	0.66	1010	SINGLE FAM MDL01	RD	1	2016	$314,800	$108,300	$423,100	10:11:59	651
364	7 SLOAN LN	402/  66/  /  / 	$156,200	$156,200	0.33	1010	SINGLE FAM MDL01	RD	1	2016	$83,300	$72,900	$156,200	10:12:00	652
365	19 SLOAN LN	402/  67/  /  / 	$743,000	$964,900	48.48	1090	MULTI HSES	RD	2	2016	$538,500	$426,400	$964,900	10:12:03	653
368	8 SLOAN LN	402/  70/  /  / 	$340,500	$340,500	0.51	1010	SINGLE FAM MDL01	RD	1	2016	$238,100	$102,400	$340,500	10:12:07	654
369	264 RIVER RD	402/  71/  /  / 	$695,400	$868,700	45.73	1010	SINGLE FAM MDL01	RD	1	2016	$450,900	$417,800	$868,700	10:12:11	655
370	240 RIVER RD	402/  72/  /  / 	$255,600	$255,600	58	9200	NON PROFIT  MDL-00	RD	1	2016	$0	$255,600	$255,600	10:12:13	656
371	234 RIVER RD	402/  73/  /  / 	$477,500	$477,500	2.18	1010	SINGLE FAM MDL01	RD	1	2016	$323,100	$154,400	$477,500	10:12:16	657
372	228 RIVER RD	402/  74/  1000/  / 	$409,300	$409,300	9.8	1010	SINGLE FAM MDL01	RD	1	2016	$209,400	$199,900	$409,300	10:12:20	658
375	202 RIVER RD	402/  77/  /  / 	$156,600	$156,600	7.06	1300	RES ACLNDV	RD	1	2016	$0	$156,600	$156,600	10:12:23	659
376	192 RIVER RD	402/  78/  /  / 	$474,600	$622,600	50.5	1010	SINGLE FAM MDL01	RD	1	2016	$330,500	$292,100	$622,600	10:12:26	660
